country,country_short,party_short,wave,party_name_english,party_name_original,family,family_label,poppa_id,partyfacts_id,n_experts,mean_n_experts,manichean,indivisible,generalwill,peoplecentrism,antielitism,peopleimm,peoplewealthy,elitepol,elitemedia,eliteecon,elitecult,lrecon,salienceecon,immigration,nativism,lifestyle,laworder,saliencecult,lroverall,eu,climatepolicy,climatescience,complex,emotional,intradem,personalised,populism_mean,populism_cfa,populism_cfa_rescaled
Germany,DEU,AfD,Wave 2 - 2023,Alternative for Germany,Alternative für Deutschland,1,Radical Right,1205,1976,29,28,8.821428571428571,8.642857142857142,8.607142857142858,8.714285714285714,9.413793103448276,0.7931034482758621,5.888888888888889,7.714285714285714,7.551724137931035,6.84,7.923076923076923,6.964285714285714,3.4827586206896552,0.5862068965517241,9.793103448275861,0.6551724137931034,8.89655172413793,9.714285714285714,9.448275862068966,1.0344827586206897,0.7241379310344828,0.6538461538461539,NA,NA,NA,NA,8.839901477832512,3.1483775414754307,9.39176641727393
Germany,DEU,B90/Grüne,Wave 1 - 2018,Alliance 90/Greens,Bündnis 90/Die Grünen,7,Green,1206,1816,18,17.6875,4.2777777,1.2352941,2.0588236,4,3.8888888,NA,NA,NA,NA,NA,NA,3.5,NA,8.176471,0.9444444,8.888889,1.5,NA,3.1666667,8.777778,NA,NA,6.5882354,5.2222223,7.7222223,4.4444447,3.09215684,-1.6853631912378648,2.6014012274168143
Germany,DEU,B90/Grüne,Wave 2 - 2023,Alliance 90/Greens,Bündnis 90/Die Grünen,7,Green,1206,1816,29,27.92,3.392857142857143,1.4285714285714286,2.0357142857142856,3.392857142857143,1.9655172413793103,9.517241379310345,5,6.3076923076923075,5.148148148148148,7.08,5.541666666666667,3.1724137931034484,5.517241379310345,8.620689655172415,0.6206896551724138,9.586206896551724,2.0689655172413794,7.964285714285714,2.9310344827586206,9,9.172413793103448,9.192307692307692,NA,NA,NA,NA,2.443103448275862,-1.9892577853769362,2.174494740798244
Germany,DEU,FDP,Wave 1 - 2018,Free Democratic Party,Freie Demokratische Partei,3,Liberal,1207,573,18,17.5625,3.4444444,1.4375,1.6470588,2.6666667,1,NA,NA,NA,NA,NA,NA,8.166667,NA,4.352941,3.5555556,7.4444447,3.0555556,NA,6.2777777,6.2222223,NA,NA,5.8125,4.0555553,4.111111,8.611111,2.03913398,-2.2789087754145694,1.7675974517797735
Germany,DEU,FDP,Wave 2 - 2023,Free Democratic Party,Freie Demokratische Partei,3,Liberal,1207,573,29,27.8,2.607142857142857,1.2142857142857142,1.2857142857142858,1.8928571428571428,0.6896551724137931,6.551724137931035,8.89655172413793,6.1923076923076925,5.3076923076923075,6.64,5.916666666666667,8.689655172413794,9.448275862068966,6.068965517241379,3.3793103448275863,8.620689655172415,1.9310344827586208,5.642857142857143,6.344827586206897,7.724137931034483,2.8620689655172415,5.541666666666667,NA,NA,NA,NA,1.5379310344827586,-2.8442065938213807,0.9734757062683846
Greece,GRC,SYRIZA,Wave 1 - 2018,Coalition of the Radical Left,Συνασπισμός Ριζοσπαστικής Αριστεράς,6,Radical Left,1301,301,13,12.75,7.5384617,6.230769,7,8.153846,8.307693,NA,NA,NA,NA,NA,NA,3.0769231,NA,8.153846,1.6153846,8.769231,1.0769231,NA,2.8461537,5.8461537,NA,NA,4.818182,8.166667,6.230769,7.076923,7.44615394,2.066221971418822,7.871570792549631
Greece,GRC,SYRIZA,Wave 2 - 2023,Coalition of the Radical Left,Συνασπισμός Ριζοσπαστικής Αριστεράς,6,Radical Left,1301,301,11,10.76,7.090909090909091,6.545454545454546,7,8.454545454545455,8.181818181818182,9.181818181818182,2.727272727272727,5.2727272727272725,5.5,6.636363636363637,4.454545454545454,2.727272727272727,8.181818181818182,8.545454545454545,0.9090909090909091,8.272727272727273,2.6363636363636362,8,3.090909090909091,6.818181818181818,6,8.375,NA,NA,NA,NA,7.454545454545455,2.060218625397643,7.863137383705628
Greece,GRC,ND,Wave 1 - 2018,New Democracy,Νέα Δημοκρατία,2,Conservatives,1302,794,13,12.75,5.6923075,4,3.9166667,3.6153846,2.0769231,NA,NA,NA,NA,NA,NA,8.153846,NA,3.1538463,6.7692310000000004,2.7692308,7.5384617,NA,7.230769,8.846154,NA,NA,6.3636365,6.4166665,4.4615383,7,3.86025638,-0.5923863222273085,4.136798447714626
Greece,GRC,ND,Wave 2 - 2023,New Democracy,Νέα Δημοκρατία,2,Conservatives,1302,794,11,10.72,5.545454545454546,5.090909090909091,4.454545454545454,3.5454545454545454,1.8181818181818181,3.3636363636363638,8.090909090909092,5.090909090909091,5.222222222222222,6.545454545454546,5.454545454545454,8.272727272727273,8.272727272727273,2.3636363636363638,6.545454545454546,3.6363636363636362,7.363636363636363,6.8,7,9.181818181818182,5.7,7.25,NA,NA,NA,NA,4.090909090909091,-0.41073089778229505,4.3919852148393375
Greece,GRC,XA,Wave 1 - 2018,Golden Dawn,Λαϊκός Σύνδεσμος – Χρυσή Αυγή,1,Radical Right,1303,NA,13,12.625,9.5384620000000009,9.615385,9.416667,6.4615383,7.25,NA,NA,NA,NA,NA,NA,3.3076923,NA,0,10,0,10,NA,10,0.3846154,NA,NA,1.5,9.666667,0.53846157,9.692307,8.45641046,3.089093381611183,9.308484934523378
